Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;XRRigPosition;CameraPosition;GazeHitObject;GazeHitPosition
1052440;1000006167464672967;63789510874236;(-3.297, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052459;1000006167559713377;63789510874326;(-3.297, 0.936, 3.422);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052481;1000006167669754090;63789510874436;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052500;1000006167764786615;63789510874536;(-3.297, 0.936, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052522;1000006167874830724;63789510874648;(-3.297, 0.935, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052540;1000006167964864485;63789510874736;(-3.297, 0.935, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052559;1000006168059897921;63789510874826;(-3.297, 0.935, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052581;1000006168169944578;63789510874936;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052600;1000006168264980941;63789510875036;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052622;1000006168375019771;63789510875147;(-3.297, 0.935, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052640;1000006168465050079;63789510875237;(-3.297, 0.936, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052659;1000006168560088387;63789510875327;(-3.297, 0.936, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052681;1000006168670129891;63789510875436;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052700;1000006168765162635;63789510875535;(-3.298, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052722;1000006168875206605;63789510875648;(-3.297, 0.935, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052740;1000006168965240356;63789510875735;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052759;1000006169060273878;63789510875836;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052781;1000006169170318851;63789510875936;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052800;1000006169265355095;63789510876036;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052822;1000006169375394348;63789510876148;(-3.297, 0.936, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052840;1000006169465431954;63789510876236;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052859;1000006169560469177;63789510876327;(-3.298, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052881;1000006169670508908;63789510876437;(-3.298, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052900;1000006169765541142;63789510876548;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052921;1000006169870583520;63789510876637;(-3.298, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052940;1000006169965619126;63789510876756;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052959;1000006170060651997;63789510876837;(-3.298, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1052981;1000006170170696551;63789510876952;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053000;1000006170265732851;63789510877036;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053021;1000006170370770100;63789510877147;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053040;1000006170465809556;63789510877236;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053059;1000006170560846434;63789510877337;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053081;1000006170670886132;63789510877448;(-3.298, 0.936, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053100;1000006170765918168;63789510877537;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053121;1000006170870959893;63789510877637;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053140;1000006170965995009;63789510877737;(-3.298, 0.936, 3.425);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053159;1000006171061028378;63789510877836;(-3.298, 0.936, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053181;1000006171171073165;63789510877936;(-3.297, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053200;1000006171266109105;63789510878036;(-3.298, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053221;1000006171371146405;63789510878148;(-3.298, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.749);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053240;1000006171466186006;63789510878237;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053259;1000006171561227519;63789510878337;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053281;1000006171671266625;63789510878437;(-3.298, 0.938, 3.418);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053299;1000006171761304300;63789510878537;(-3.298, 0.938, 3.418);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053321;1000006171871346783;63789510878638;(-3.298, 0.938, 3.418);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053340;1000006171966380995;63789510878736;(-3.298, 0.938, 3.418);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053359;1000006172061413224;63789510878836;(-3.297, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053381;1000006172171457118;63789510878947;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053399;1000006172261490793;63789510879037;(-3.297, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053421;1000006172371529847;63789510879147;(-3.297, 0.937, 3.422);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053440;1000006172466568443;63789510879236;(-3.298, 0.936, 3.422);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053459;1000006172561604968;63789510879336;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053481;1000006172671643862;63789510879448;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053499;1000006172761681198;63789510879536;(-3.298, 0.936, 3.424);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053521;1000006172871723613;63789510879648;(-3.297, 0.937, 3.422);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053540;1000006172966758107;63789510879736;(-3.297, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053559;1000006173061792895;63789510879837;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053581;1000006173171836187;63789510879947;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053599;1000006173261869937;63789510880037;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053621;1000006173371908350;63789510880148;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053640;1000006173466946797;63789510880236;(-3.298, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053659;1000006173561982806;63789510880337;(-3.298, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053681;1000006173672021440;63789510880448;(-3.297, 0.936, 3.424);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053699;1000006173762058939;63789510880536;(-3.298, 0.936, 3.423);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053721;1000006173872100952;63789510880648;(-3.297, 0.937, 3.422);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053740;1000006173967135197;63789510880737;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053759;1000006174062175965;63789510880836;(-3.297, 0.936, 3.423);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053781;1000006174172218428;63789510880947;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053799;1000006174262251111;63789510881036;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053821;1000006174372287941;63789510881148;(-3.298, 0.937, 3.419);(-0.009, -0.663, 0.009, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053840;1000006174467325707;63789510881237;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053859;1000006174562362302;63789510881337;(-3.298, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053880;1000006174667399047;63789510881437;(-3.297, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053899;1000006174762443569;63789510881536;(-3.298, 0.936, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053921;1000006174872484605;63789510881647;(-3.298, 0.937, 3.422);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053940;1000006174967518710;63789510881738;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053959;1000006175062558085;63789510881837;(-3.298, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053980;1000006175167598241;63789510881938;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1053999;1000006175262632328;63789510882036;(-3.297, 0.937, 3.421);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
1054021;1000006175372668958;63789510882149;(-3.298, 0.937, 3.420);(-0.009, -0.663, 0.008, 0.748);INVALID;;;INVALID;;;;INVALID;;;;;;;;;
