Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;XRRigPosition;CameraGlobalPosition;CameraForward;GazeStatus;CombinedGazeForward;CombinedGazePosition;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftEyePupilSize;RightEyeStatus;RightEyeForward;RightEyePosition;RightEyePupilSize;FocusDistance;FocusStability;GazeHitObject;GazeHitPosition
5860035;1000114194378637187;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.001, 0.999);(0.000, 0.000, 0.000);VALID;(0.035, 0.000, 0.999);(-0.034, 0.000, 0.000);0.06365773;VALID;(-0.109, 0.000, 0.994);(0.034, 0.000, 0.000);0.06336974;0.4654315;0.6051427;None;(0.000, 0.000, 0.000)
5860036;1000114194383637766;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.035, -0.001, 0.999);(0.000, 0.000, 0.000);VALID;(0.035, 0.000, 0.999);(-0.034, 0.000, 0.000);0.06385615;VALID;(-0.108, -0.001, 0.994);(0.034, 0.000, 0.000);0.06314607;0.4678586;0.6251822;None;(0.000, 0.000, 0.000)
5860037;1000114194388638343;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.001, 0.999);(0.000, 0.000, 0.000);VALID;(0.035, 0.000, 0.999);(-0.034, 0.000, 0.000);0.06382342;VALID;(-0.108, -0.001, 0.994);(0.034, 0.000, 0.000);0.06317042;0.4704689;0.6044009;None;(0.000, 0.000, 0.000)
5860038;1000114194393638918;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.034, -0.002, 0.999);(0.000, 0.000, 0.000);VALID;(0.034, 0.000, 0.999);(-0.034, 0.000, 0.000);0.0638919;VALID;(-0.107, -0.002, 0.994);(0.034, 0.000, 0.000);0.06304564;0.4737498;0.5893296;None;(0.000, 0.000, 0.000)
5860039;1000114194398639491;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.002, 0.999);(0.000, 0.000, 0.000);VALID;(0.034, 0.000, 0.999);(-0.034, 0.000, 0.000);0.06392708;VALID;(-0.106, -0.002, 0.994);(0.034, 0.000, 0.000);0.06285038;0.4790235;0.5609252;None;(0.000, 0.000, 0.000)
5860040;1000114194403640062;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.002, 0.999);(0.000, 0.000, 0.000);VALID;(0.034, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06427589;VALID;(-0.104, -0.003, 0.995);(0.034, 0.000, 0.000);0.06262265;0.4860221;0.554603;None;(0.000, 0.000, 0.000)
5860041;1000114194408640632;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.033, -0.003, 0.999);(0.000, 0.000, 0.000);VALID;(0.033, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06395483;VALID;(-0.102, -0.005, 0.995);(0.034, 0.000, 0.000);0.06264286;0.4945321;0.5673156;None;(0.000, 0.000, 0.000)
5860042;1000114194413644502;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.032, -0.003, 0.999);(0.000, 0.000, 0.000);VALID;(0.033, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06389035;VALID;(-0.099, -0.006, 0.995);(0.034, 0.000, 0.000);0.06267436;0.5062726;0.5829896;None;(0.000, 0.000, 0.000)
5860043;1000114194418648223;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.032, -0.004, 0.999);(0.000, 0.000, 0.000);VALID;(0.032, -0.001, 0.999);(-0.034, 0.000, 0.000);0.06388372;VALID;(-0.097, -0.008, 0.995);(0.034, 0.000, 0.000);0.06247634;0.5183668;0.6279268;None;(0.000, 0.000, 0.000)
5860044;1000114194423651902;63789618900911;(-0.730, 1.630, 2.755);(0.010, 0.998, -0.057, -0.007);(0.000, 0.000, 0.000);(-0.730, 1.630, 2.755);(-0.015, -0.113, -0.993);VALID;(-0.032, -0.005, 0.999);(0.000, 0.000, 0.000);VALID;(0.031, -0.002, 1.000);(-0.034, 0.000, 0.000);0.06387666;VALID;(-0.095, -0.009, 0.995);(0.034, 0.000, 0.000);0.06242089;0.5310378;0.5888212;None;(0.000, 0.000, 0.000)
